Date,Day,Time,Crime_Type,Lighting,Police_Presence,Crowd_Presence,Risk_Score,Risk_Level,Latitude,Longitude
17-05-2025,Saturday,07:41,Theft,Good,Medium,Low,44,Moderate,28.476853,77.497594
20-03-2026,Friday,15:01,Other,Good,High,Low,35,Moderate,28.458027,77.507035
25-10-2025,Saturday,12:48,Other,Poor,High,Medium,42,Moderate,28.471762,77.506719
04-11-2025,Tuesday,19:17,Other,Moderate,Medium,High,42,Moderate,28.473397,77.498824
28-02-2026,Saturday,07:08,Robbery,Good,High,Low,50,Moderate,28.471095,77.491571
17-02-2026,Tuesday,02:09,Robbery,Poor,Low,High,77,Unsafe,28.469367,77.485817
10-10-2025,Friday,01:08,Theft,Poor,Medium,Medium,61,Unsafe,28.461432,77.485976
14-11-2025,Friday,09:38,Burglary,Moderate,Medium,Low,60,Moderate,28.47376,77.485534
03-07-2025,Thursday,23:03,Theft,Poor,Medium,High,52,Moderate,28.458141,77.501026
24-09-2025,Wednesday,15:45,Other,Poor,High,High,38,Moderate,28.47681,77.49815
30-10-2025,Thursday,15:39,Robbery,Good,Low,Medium,58,Moderate,28.473105,77.492624
15-07-2025,Tuesday,10:26,Assault,Poor,Medium,Low,74,Unsafe,28.470238,77.487231
01-02-2026,Sunday,00:09,Harassment,Moderate,High,High,48,Moderate,28.462163,77.491106
15-03-2026,Sunday,12:23,Assault,Moderate,Medium,High,57,Moderate,28.47384,77.487796
13-07-2025,Sunday,04:29,Assault,Good,Medium,Low,71,Unsafe,28.473036,77.504113
11-06-2025,Wednesday,18:30,Burglary,Good,Low,Medium,56,Moderate,28.468154,77.510144
15-01-2026,Thursday,08:58,Harassment,Poor,Medium,Low,61,Unsafe,28.470699,77.503245
26-08-2025,Tuesday,03:41,Burglary,Moderate,High,High,54,Moderate,28.475252,77.512601
11-06-2025,Wednesday,00:27,Harassment,Moderate,High,Low,58,Moderate,28.470917,77.508593
04-03-2026,Wednesday,03:40,Burglary,Good,Low,Low,72,Unsafe,28.470682,77.485843
28-02-2026,Saturday,06:34,Burglary,Good,High,Medium,42,Moderate,28.470684,77.487768
05-03-2026,Thursday,12:47,Harassment,Good,Medium,High,38,Moderate,28.457856,77.5111
08-01-2026,Thursday,12:30,Other,Poor,Medium,Medium,48,Moderate,28.458722,77.508924
19-12-2025,Friday,04:04,Burglary,Good,Low,Low,72,Unsafe,28.479848,77.512512
05-12-2025,Friday,09:03,Robbery,Moderate,Low,Medium,64,Unsafe,28.468157,77.485576
19-02-2026,Thursday,17:47,Assault,Poor,Low,High,72,Unsafe,28.466431,77.514682
25-12-2025,Thursday,02:52,Assault,Good,Low,High,69,Unsafe,28.470248,77.504348
30-11-2025,Sunday,07:14,Robbery,Poor,Low,Medium,71,Unsafe,28.46319,77.51427
26-09-2025,Friday,18:28,Burglary,Poor,Low,Medium,69,Unsafe,28.460927,77.497717
14-06-2025,Saturday,06:18,Robbery,Poor,Low,Low,77,Unsafe,28.478566,77.514819
20-12-2025,Saturday,19:23,Harassment,Moderate,Medium,Low,59,Moderate,28.476807,77.498846
16-04-2025,Wednesday,17:38,Assault,Moderate,High,High,51,Moderate,28.462826,77.510606
17-01-2026,Saturday,16:56,Harassment,Good,Low,Medium,50,Moderate,28.457197,77.488966
28-10-2025,Tuesday,06:44,Burglary,Poor,Low,Low,75,Unsafe,28.47589,77.505393
11-01-2026,Sunday,23:27,Harassment,Moderate,Medium,Low,59,Moderate,28.47693,77.502446
09-07-2025,Wednesday,10:45,Assault,Good,Low,High,59,Moderate,28.458442,77.488676
09-06-2025,Monday,03:03,Harassment,Moderate,High,High,48,Moderate,28.470757,77.505542
04-02-2026,Wednesday,21:49,Harassment,Poor,High,High,50,Moderate,28.476359,77.50269
05-06-2025,Thursday,00:33,Theft,Moderate,Medium,High,50,Moderate,28.466735,77.513692
03-04-2026,Friday,15:18,Theft,Moderate,Low,Medium,52,Moderate,28.455685,77.511024
05-01-2026,Monday,19:10,Theft,Poor,Medium,Medium,56,Moderate,28.468059,77.513623
31-10-2025,Friday,18:51,Burglary,Poor,High,Medium,55,Moderate,28.464018,77.489262
20-01-2026,Tuesday,10:49,Theft,Moderate,Medium,Low,50,Moderate,28.465288,77.488322
27-12-2025,Saturday,11:06,Theft,Moderate,Medium,Low,50,Moderate,28.464329,77.509732
29-05-2025,Thursday,19:23,Other,Poor,Low,High,57,Moderate,28.466421,77.508196
27-07-2025,Sunday,19:39,Theft,Good,High,Low,43,Moderate,28.471371,77.490922
23-12-2025,Tuesday,07:19,Other,Poor,High,Medium,42,Moderate,28.459727,77.509089
24-05-2025,Saturday,20:36,Harassment,Poor,Medium,Medium,60,Moderate,28.462276,77.506999
30-04-2025,Wednesday,03:55,Robbery,Good,High,High,50,Moderate,28.476918,77.486618
05-06-2025,Thursday,00:44,Assault,Moderate,High,Medium,65,Unsafe,28.465148,77.500687
01-05-2025,Thursday,05:19,Assault,Poor,Medium,Medium,78,Unsafe,28.469331,77.493485
27-02-2026,Friday,20:56,Burglary,Poor,High,High,56,Moderate,28.470007,77.494855
06-11-2025,Thursday,08:40,Robbery,Poor,High,High,53,Moderate,28.476613,77.509041
11-04-2025,Friday,03:16,Burglary,Moderate,Medium,High,60,Moderate,28.462541,77.498616
30-11-2025,Sunday,07:03,Burglary,Poor,Medium,Low,67,Unsafe,28.474787,77.497169
08-09-2025,Monday,09:57,Burglary,Poor,Medium,High,57,Moderate,28.478387,77.485325
20-07-2025,Sunday,18:34,Burglary,Good,Medium,Low,54,Moderate,28.46703,77.511814
09-02-2026,Monday,00:19,Harassment,Poor,Medium,High,61,Unsafe,28.459821,77.503509
13-05-2025,Tuesday,09:43,Assault,Poor,High,Low,68,Unsafe,28.456748,77.48673
01-08-2025,Friday,17:41,Burglary,Moderate,Low,High,58,Moderate,28.460469,77.487928
01-11-2025,Saturday,14:44,Burglary,Moderate,High,Medium,48,Moderate,28.467485,77.494552
09-03-2026,Monday,20:06,Other,Good,High,Low,40,Moderate,28.466849,77.486537
13-10-2025,Monday,08:05,Burglary,Good,High,Low,48,Moderate,28.47895,77.509517
08-12-2025,Monday,12:45,Burglary,Moderate,High,Medium,48,Moderate,28.460839,77.490683
19-03-2026,Thursday,18:15,Burglary,Poor,Low,Low,75,Unsafe,28.467268,77.507072
22-08-2025,Friday,15:06,Burglary,Good,Medium,High,44,Moderate,28.456444,77.488648
08-10-2025,Wednesday,00:40,Assault,Poor,Medium,Low,84,Unsafe,28.477171,77.496119
08-08-2025,Friday,01:41,Harassment,Poor,Low,Low,79,Unsafe,28.47943,77.509819
06-07-2025,Sunday,21:06,Harassment,Poor,High,High,50,Moderate,28.470585,77.489538
27-12-2025,Saturday,08:11,Harassment,Good,Low,Low,56,Moderate,28.460153,77.500177
30-11-2025,Sunday,21:35,Theft,Poor,High,High,46,Moderate,28.458463,77.514135
14-10-2025,Tuesday,16:40,Harassment,Good,High,Low,42,Moderate,28.4779,77.511276
25-06-2025,Wednesday,01:12,Other,Poor,High,Medium,52,Moderate,28.470967,77.493593
09-02-2026,Monday,10:23,Assault,Moderate,Low,High,65,Unsafe,28.455658,77.497918
13-07-2025,Sunday,22:41,Other,Good,Low,Medium,48,Moderate,28.479776,77.50817
08-12-2025,Monday,22:30,Assault,Poor,Low,High,77,Unsafe,28.466869,77.48953
11-02-2026,Wednesday,05:11,Theft,Good,High,Low,48,Moderate,28.479028,77.485646
09-11-2025,Sunday,01:07,Robbery,Poor,Low,High,77,Unsafe,28.461887,77.49766
23-08-2025,Saturday,20:47,Burglary,Good,Low,Medium,61,Unsafe,28.474046,77.500438
25-12-2025,Thursday,00:37,Harassment,Poor,Medium,High,61,Unsafe,28.457512,77.498228
20-02-2026,Friday,01:00,Assault,Poor,Medium,Medium,78,Unsafe,28.476096,77.507676
16-12-2025,Tuesday,00:55,Burglary,Moderate,Medium,High,60,Moderate,28.462262,77.48838
14-05-2025,Wednesday,19:20,Other,Moderate,Low,Low,60,Moderate,28.470925,77.486839
11-11-2025,Tuesday,19:10,Robbery,Good,Low,High,59,Moderate,28.475487,77.507035
23-11-2025,Sunday,05:20,Other,Moderate,Medium,Medium,51,Moderate,28.478495,77.493399
28-07-2025,Monday,01:02,Assault,Moderate,Medium,Low,77,Unsafe,28.470477,77.490794
07-09-2025,Sunday,16:13,Harassment,Moderate,High,High,38,Moderate,28.471401,77.502515
19-09-2025,Friday,19:37,Harassment,Moderate,Medium,High,49,Moderate,28.466624,77.485684
19-03-2026,Thursday,05:02,Assault,Moderate,Low,High,75,Unsafe,28.475536,77.488806
04-05-2025,Sunday,17:29,Harassment,Poor,High,Medium,49,Moderate,28.463059,77.511182
22-03-2026,Sunday,18:08,Other,Moderate,Low,High,45,Moderate,28.468457,77.512601
14-09-2025,Sunday,18:09,Theft,Moderate,Low,Medium,52,Moderate,28.47709,77.503948
26-10-2025,Sunday,03:27,Robbery,Poor,High,Medium,67,Unsafe,28.46103,77.497266
15-12-2025,Monday,08:06,Harassment,Good,Medium,High,38,Moderate,28.478456,77.494248
25-05-2025,Sunday,05:22,Theft,Poor,High,High,51,Moderate,28.470897,77.496533
20-04-2025,Sunday,10:01,Harassment,Moderate,High,Low,48,Moderate,28.469419,77.51316
01-10-2025,Wednesday,22:55,Theft,Poor,Medium,Low,62,Unsafe,28.477477,77.506639
25-05-2025,Sunday,14:44,Burglary,Poor,Low,Medium,69,Unsafe,28.473331,77.500772
24-10-2025,Friday,19:47,Burglary,Poor,High,Medium,60,Moderate,28.473497,77.500529
27-07-2025,Sunday,09:49,Assault,Poor,Low,High,72,Unsafe,28.478147,77.496166
15-12-2025,Monday,14:18,Burglary,Poor,Low,Low,75,Unsafe,28.47819,77.496394
16-07-2025,Wednesday,15:58,Assault,Moderate,Medium,Medium,61,Unsafe,28.464379,77.514802
31-03-2026,Tuesday,13:49,Robbery,Moderate,High,Low,56,Moderate,28.478518,77.508125
28-06-2025,Saturday,19:54,Burglary,Good,High,High,43,Moderate,28.459597,77.500941
15-11-2025,Saturday,21:46,Burglary,Good,Medium,Medium,53,Moderate,28.477698,77.508487
12-06-2025,Thursday,01:28,Theft,Good,Low,High,52,Moderate,28.457651,77.495088
01-09-2025,Monday,21:13,Burglary,Poor,High,Low,66,Unsafe,28.458458,77.485494
20-06-2025,Friday,00:08,Assault,Good,High,High,55,Moderate,28.467768,77.499119
17-12-2025,Wednesday,18:29,Burglary,Moderate,Medium,High,50,Moderate,28.456126,77.508717
08-02-2026,Sunday,01:45,Harassment,Good,High,Low,52,Moderate,28.465135,77.49045
23-06-2025,Monday,07:03,Theft,Poor,Medium,Low,57,Moderate,28.455003,77.494992
30-04-2025,Wednesday,01:32,Other,Good,High,Low,45,Moderate,28.456418,77.499268
15-01-2026,Thursday,15:51,Harassment,Moderate,Medium,Low,54,Moderate,28.469875,77.513134
23-10-2025,Thursday,00:15,Other,Good,Medium,High,41,Moderate,28.463972,77.513839
17-06-2025,Tuesday,02:01,Theft,Moderate,Low,Low,68,Unsafe,28.456807,77.487779
13-05-2025,Tuesday,09:54,Theft,Poor,Medium,Medium,51,Moderate,28.471401,77.486602
20-07-2025,Sunday,11:04,Other,Poor,Low,High,52,Moderate,28.463237,77.488355
11-10-2025,Saturday,20:40,Theft,Good,Medium,Medium,43,Moderate,28.477532,77.492504
01-12-2025,Monday,02:14,Burglary,Good,High,Medium,52,Moderate,28.476155,77.499558
06-11-2025,Thursday,16:00,Burglary,Moderate,Low,High,58,Moderate,28.458542,77.510738
26-04-2025,Saturday,17:51,Harassment,Poor,Low,Medium,63,Unsafe,28.47404,77.509413
09-09-2025,Tuesday,16:51,Theft,Good,Low,High,42,Moderate,28.460033,77.486235
10-06-2025,Tuesday,02:11,Harassment,Poor,High,Low,65,Unsafe,28.472077,77.495895
27-01-2026,Tuesday,10:08,Harassment,Poor,Medium,Low,61,Unsafe,28.459379,77.500565
16-03-2026,Monday,13:01,Assault,Moderate,Medium,Medium,61,Unsafe,28.472262,77.497584
10-12-2025,Wednesday,19:23,Burglary,Good,High,High,43,Moderate,28.468692,77.506721
07-05-2025,Wednesday,09:59,Theft,Good,Medium,Low,44,Moderate,28.46328,77.487116
30-06-2025,Monday,03:50,Burglary,Moderate,Medium,High,60,Moderate,28.459409,77.505141
30-05-2025,Friday,16:28,Theft,Moderate,Low,Medium,52,Moderate,28.477719,77.487389
09-03-2026,Monday,00:37,Harassment,Moderate,High,Medium,52,Moderate,28.45509,77.507158
22-08-2025,Friday,06:24,Theft,Moderate,High,Low,44,Moderate,28.4725,77.502402
14-08-2025,Thursday,14:27,Assault,Moderate,Medium,Medium,61,Unsafe,28.469602,77.498653
16-05-2025,Friday,20:36,Robbery,Good,Medium,High,51,Moderate,28.476125,77.507011
13-02-2026,Friday,10:22,Theft,Good,High,Medium,32,Moderate,28.461543,77.514883
09-03-2026,Monday,02:03,Burglary,Good,Low,Medium,66,Unsafe,28.46422,77.501083
04-07-2025,Friday,06:48,Theft,Poor,Low,High,55,Moderate,28.458464,77.49825
07-10-2025,Tuesday,19:26,Theft,Good,Medium,Medium,43,Moderate,28.459363,77.506961
16-07-2025,Wednesday,15:23,Robbery,Poor,Low,High,67,Unsafe,28.461968,77.506446
05-06-2025,Thursday,07:29,Theft,Poor,Medium,Medium,51,Moderate,28.466799,77.487574
06-03-2026,Friday,21:17,Burglary,Moderate,Low,Medium,67,Unsafe,28.466155,77.494807
02-09-2025,Tuesday,08:59,Assault,Poor,Low,Medium,76,Unsafe,28.46832,77.488562
04-03-2026,Wednesday,04:19,Robbery,Good,Low,Low,74,Unsafe,28.456722,77.496252
02-06-2025,Monday,23:33,Harassment,Moderate,Low,Medium,61,Unsafe,28.461389,77.511251
14-08-2025,Thursday,12:58,Other,Good,High,High,25,Safe,28.45794,77.511255
07-10-2025,Tuesday,08:04,Theft,Poor,Medium,Medium,51,Moderate,28.47483,77.513202
29-01-2026,Thursday,16:33,Theft,Good,Low,Low,52,Moderate,28.475401,77.509219
09-04-2025,Wednesday,08:31,Theft,Moderate,Low,Low,58,Moderate,28.471527,77.514327
27-01-2026,Tuesday,23:45,Other,Good,High,Medium,34,Moderate,28.469603,77.494849
22-04-2025,Tuesday,11:53,Harassment,Poor,High,High,45,Moderate,28.459405,77.493223
10-08-2025,Sunday,21:00,Other,Poor,Medium,Low,59,Moderate,28.465587,77.508652
19-04-2025,Saturday,15:08,Burglary,Good,High,Medium,42,Moderate,28.470643,77.504263
05-08-2025,Tuesday,07:04,Burglary,Moderate,High,Medium,48,Moderate,28.460082,77.501336
13-06-2025,Friday,08:32,Harassment,Good,High,Medium,36,Moderate,28.471104,77.495369
04-08-2025,Monday,02:03,Burglary,Poor,Low,Low,85,Unsafe,28.479791,77.48627
24-03-2026,Tuesday,20:22,Other,Poor,High,High,43,Moderate,28.467834,77.50986
17-10-2025,Friday,16:47,Robbery,Good,Low,Medium,58,Moderate,28.462788,77.507323
23-02-2026,Monday,11:39,Burglary,Poor,Medium,High,57,Moderate,28.470883,77.503465
14-09-2025,Sunday,20:09,Robbery,Poor,Low,High,72,Unsafe,28.460621,77.510926
20-05-2025,Tuesday,19:55,Other,Poor,Medium,Medium,53,Moderate,28.456709,77.510958
31-10-2025,Friday,13:53,Theft,Good,Medium,High,34,Moderate,28.473434,77.489886
09-08-2025,Saturday,01:09,Theft,Good,High,High,38,Moderate,28.464755,77.499527
10-09-2025,Wednesday,21:15,Theft,Moderate,Low,Medium,57,Moderate,28.461571,77.496257
15-12-2025,Monday,13:16,Assault,Good,Medium,High,51,Moderate,28.479709,77.505302
23-05-2025,Friday,09:37,Assault,Poor,Low,Low,82,Unsafe,28.46662,77.500761
12-09-2025,Friday,14:15,Robbery,Poor,Medium,High,59,Moderate,28.464986,77.486944
25-09-2025,Thursday,21:37,Assault,Moderate,Medium,High,62,Unsafe,28.455718,77.492388
16-08-2025,Saturday,21:29,Other,Moderate,High,High,36,Moderate,28.464468,77.485033
18-12-2025,Thursday,14:27,Harassment,Moderate,Low,Low,62,Unsafe,28.465584,77.511453
22-02-2026,Sunday,09:14,Robbery,Poor,Medium,High,59,Moderate,28.465114,77.492618
26-08-2025,Tuesday,14:58,Robbery,Poor,Low,High,67,Unsafe,28.467623,77.490818
05-12-2025,Friday,16:44,Other,Good,Low,High,39,Moderate,28.465566,77.504674
01-01-2026,Thursday,15:10,Burglary,Poor,Medium,High,57,Moderate,28.467313,77.496029
26-02-2026,Thursday,01:10,Theft,Good,Low,High,52,Moderate,28.479234,77.512818
29-03-2026,Sunday,15:29,Other,Good,High,Low,35,Moderate,28.468497,77.509592
14-05-2025,Wednesday,07:03,Harassment,Moderate,High,Medium,42,Moderate,28.468582,77.506088
06-05-2025,Tuesday,21:14,Robbery,Good,Medium,Low,61,Unsafe,28.462219,77.50641
08-09-2025,Monday,03:21,Other,Poor,High,Low,58,Moderate,28.479588,77.496877
19-10-2025,Sunday,02:40,Other,Good,High,Low,45,Moderate,28.456526,77.509287
11-10-2025,Saturday,03:39,Burglary,Good,Medium,Medium,58,Moderate,28.465842,77.490326
10-08-2025,Sunday,11:51,Assault,Good,High,Medium,49,Moderate,28.477364,77.50724
31-07-2025,Thursday,10:05,Robbery,Good,High,High,40,Moderate,28.475071,77.510933
29-10-2025,Wednesday,19:35,Other,Good,Medium,Low,46,Moderate,28.462547,77.498487
20-02-2026,Friday,19:41,Burglary,Poor,Medium,High,62,Unsafe,28.462033,77.511935
24-05-2025,Saturday,18:40,Theft,Poor,High,Medium,45,Moderate,28.464484,77.503597
22-04-2025,Tuesday,05:56,Harassment,Moderate,High,High,48,Moderate,28.475497,77.512194
02-01-2026,Friday,09:42,Harassment,Poor,Medium,Medium,55,Moderate,28.477797,77.493981
12-11-2025,Wednesday,01:12,Robbery,Moderate,Low,High,70,Unsafe,28.469214,77.498662
08-04-2025,Tuesday,18:07,Burglary,Good,Medium,Medium,48,Moderate,28.478712,77.507949
13-11-2025,Thursday,11:32,Assault,Poor,High,Medium,62,Unsafe,28.456991,77.490191
20-01-2026,Tuesday,03:27,Burglary,Good,Medium,High,54,Moderate,28.4749,77.494457
18-11-2025,Tuesday,20:23,Assault,Good,Medium,High,56,Moderate,28.466052,77.510797
29-05-2025,Thursday,19:04,Theft,Good,Low,Medium,51,Moderate,28.476079,77.489027
28-06-2025,Saturday,23:32,Assault,Good,Low,High,64,Unsafe,28.463255,77.507873
10-09-2025,Wednesday,22:21,Assault,Good,High,Medium,54,Moderate,28.471736,77.499464
21-10-2025,Tuesday,10:57,Robbery,Poor,Medium,Medium,63,Unsafe,28.4713,77.488951
07-08-2025,Thursday,07:22,Robbery,Good,High,Low,50,Moderate,28.46662,77.489304
20-11-2025,Thursday,09:33,Harassment,Moderate,Low,High,52,Moderate,28.457603,77.501787
16-02-2026,Monday,23:16,Assault,Moderate,Low,High,70,Unsafe,28.462056,77.504287
04-09-2025,Thursday,10:44,Burglary,Good,Low,High,52,Moderate,28.455759,77.494595
04-10-2025,Saturday,17:24,Harassment,Moderate,Low,Medium,56,Moderate,28.455477,77.513655
12-10-2025,Sunday,09:53,Other,Good,Low,High,39,Moderate,28.461437,77.501893
21-04-2025,Monday,08:23,Assault,Poor,Low,Medium,76,Unsafe,28.455257,77.511561
25-11-2025,Tuesday,04:35,Burglary,Good,High,Low,58,Moderate,28.469529,77.486927
07-03-2026,Saturday,12:19,Robbery,Poor,Medium,Low,69,Unsafe,28.458648,77.502862
09-07-2025,Wednesday,18:34,Burglary,Poor,Medium,High,57,Moderate,28.477594,77.492994
07-10-2025,Tuesday,04:52,Burglary,Moderate,Low,Medium,72,Unsafe,28.465941,77.497078
11-02-2026,Wednesday,08:45,Theft,Good,High,High,28,Safe,28.479515,77.514445
28-02-2026,Saturday,17:11,Robbery,Moderate,Low,Medium,64,Unsafe,28.465824,77.492097
24-10-2025,Friday,20:59,Harassment,Moderate,Low,Low,67,Unsafe,28.470058,77.505145
28-08-2025,Thursday,18:07,Assault,Moderate,Low,Low,75,Unsafe,28.475727,77.51446
12-08-2025,Tuesday,06:44,Harassment,Moderate,High,Low,48,Moderate,28.461789,77.487624
12-05-2025,Monday,18:54,Harassment,Moderate,Low,Low,62,Unsafe,28.471132,77.503008
04-12-2025,Thursday,06:45,Robbery,Poor,Low,Low,77,Unsafe,28.471313,77.491354
29-03-2026,Sunday,13:59,Robbery,Poor,High,Low,63,Unsafe,28.45864,77.512914
14-05-2025,Wednesday,17:48,Theft,Good,Low,High,42,Moderate,28.479872,77.506342
12-07-2025,Saturday,13:42,Theft,Good,High,High,28,Safe,28.467802,77.514093
27-04-2025,Sunday,21:50,Robbery,Good,High,Low,55,Moderate,28.462784,77.514082
14-09-2025,Sunday,17:58,Burglary,Poor,Low,Low,75,Unsafe,28.477713,77.48774
13-10-2025,Monday,03:29,Robbery,Moderate,Medium,Low,72,Unsafe,28.468313,77.494033
18-07-2025,Friday,00:24,Harassment,Good,Medium,High,48,Moderate,28.477807,77.491288
09-11-2025,Sunday,21:48,Harassment,Moderate,Low,High,57,Moderate,28.473071,77.491952
27-07-2025,Sunday,22:34,Robbery,Moderate,Medium,Medium,61,Unsafe,28.465798,77.50357
22-01-2026,Thursday,19:35,Other,Moderate,High,Low,46,Moderate,28.457131,77.500664
03-09-2025,Wednesday,16:19,Theft,Poor,Medium,Low,57,Moderate,28.472184,77.485643
22-02-2026,Sunday,05:39,Assault,Moderate,High,Low,71,Unsafe,28.478723,77.486137
08-09-2025,Monday,05:01,Burglary,Good,Low,High,62,Unsafe,28.479675,77.492749
18-09-2025,Thursday,19:33,Robbery,Moderate,Medium,High,57,Moderate,28.473724,77.496437
21-08-2025,Thursday,10:47,Robbery,Moderate,High,High,46,Moderate,28.470675,77.491448
13-04-2025,Sunday,05:51,Burglary,Good,Low,Low,72,Unsafe,28.477575,77.504371
19-12-2025,Friday,04:54,Harassment,Good,Low,Low,66,Unsafe,28.469349,77.507678
01-10-2025,Wednesday,08:32,Robbery,Moderate,Low,Low,70,Unsafe,28.478993,77.490886
30-06-2025,Monday,06:23,Assault,Moderate,High,Low,61,Unsafe,28.455889,77.498766
06-05-2025,Tuesday,20:30,Assault,Moderate,High,Low,66,Unsafe,28.457149,77.508628
20-06-2025,Friday,20:46,Assault,Good,Low,Medium,68,Unsafe,28.478349,77.488996
01-10-2025,Wednesday,05:58,Other,Poor,Low,Low,72,Unsafe,28.46883,77.490855
08-04-2025,Tuesday,07:45,Harassment,Moderate,High,Medium,42,Moderate,28.476018,77.508311
03-10-2025,Friday,04:16,Robbery,Good,High,Low,60,Moderate,28.467511,77.491966
14-02-2026,Saturday,11:22,Robbery,Good,Medium,Low,56,Moderate,28.456155,77.492284
21-09-2025,Sunday,12:46,Burglary,Poor,High,High,51,Moderate,28.456837,77.495568
02-02-2026,Monday,19:17,Burglary,Poor,High,Medium,60,Moderate,28.464746,77.508023
02-07-2025,Wednesday,17:08,Assault,Good,Medium,High,51,Moderate,28.475014,77.504358
06-02-2026,Friday,12:37,Theft,Poor,High,High,41,Moderate,28.468463,77.485076
20-11-2025,Thursday,11:09,Theft,Poor,Medium,Low,57,Moderate,28.46809,77.509322
26-03-2026,Thursday,07:31,Assault,Poor,High,High,58,Moderate,28.462787,77.508718
04-02-2026,Wednesday,07:26,Robbery,Moderate,Low,High,60,Moderate,28.45848,77.511971
27-09-2025,Saturday,18:24,Assault,Moderate,Medium,Medium,61,Unsafe,28.455088,77.486338
20-03-2026,Friday,12:17,Burglary,Good,High,Medium,42,Moderate,28.466641,77.492771
25-02-2026,Wednesday,10:57,Burglary,Poor,Low,Medium,69,Unsafe,28.463056,77.494405
24-07-2025,Thursday,04:44,Robbery,Moderate,Low,Medium,74,Unsafe,28.465966,77.506874
08-04-2025,Tuesday,13:24,Harassment,Poor,Medium,Low,61,Unsafe,28.467926,77.49798
13-07-2025,Sunday,07:46,Burglary,Good,Medium,High,44,Moderate,28.457167,77.506163
03-08-2025,Sunday,01:30,Robbery,Moderate,High,Low,66,Unsafe,28.461069,77.488781
19-12-2025,Friday,03:27,Burglary,Moderate,Low,High,68,Unsafe,28.457529,77.512379
24-01-2026,Saturday,20:12,Assault,Good,Medium,Medium,60,Moderate,28.473121,77.511261
12-10-2025,Sunday,20:47,Other,Poor,Medium,Medium,53,Moderate,28.460752,77.514207
25-09-2025,Thursday,22:15,Robbery,Poor,Low,Medium,76,Unsafe,28.4698,77.505569
01-08-2025,Friday,15:06,Assault,Poor,Medium,Medium,68,Unsafe,28.462652,77.508082
25-10-2025,Saturday,00:15,Theft,Good,High,High,38,Moderate,28.466026,77.501911
03-03-2026,Tuesday,06:02,Assault,Moderate,Low,High,65,Unsafe,28.471898,77.513353
13-05-2025,Tuesday,14:17,Other,Good,Low,High,39,Moderate,28.468531,77.49332
07-12-2025,Sunday,20:08,Harassment,Moderate,Medium,Low,59,Moderate,28.479326,77.488708
21-03-2026,Saturday,22:30,Assault,Good,High,High,50,Moderate,28.469841,77.491429
06-05-2025,Tuesday,13:08,Burglary,Moderate,Low,Low,68,Unsafe,28.459021,77.513716
17-12-2025,Wednesday,18:01,Harassment,Moderate,Low,High,52,Moderate,28.461386,77.499173
16-10-2025,Thursday,13:58,Burglary,Good,Low,High,52,Moderate,28.460721,77.510933
30-03-2026,Monday,17:20,Assault,Good,Low,Medium,63,Unsafe,28.467351,77.510944
08-04-2025,Tuesday,20:52,Burglary,Poor,Low,Medium,74,Unsafe,28.456379,77.512322
21-12-2025,Sunday,00:31,Theft,Moderate,Low,Medium,62,Unsafe,28.469656,77.492423
01-03-2026,Sunday,07:09,Assault,Poor,Low,High,72,Unsafe,28.46278,77.493612
12-02-2026,Thursday,20:56,Harassment,Good,Medium,Low,53,Moderate,28.467473,77.511639
02-03-2026,Monday,07:20,Assault,Moderate,Medium,Low,67,Unsafe,28.463184,77.507146
04-01-2026,Sunday,23:04,Assault,Good,Low,Medium,68,Unsafe,28.47943,77.495855
01-08-2025,Friday,17:50,Other,Good,High,Low,35,Moderate,28.471403,77.489851
21-09-2025,Sunday,01:18,Robbery,Moderate,Low,High,70,Unsafe,28.475434,77.512766
23-05-2025,Friday,06:54,Assault,Moderate,Medium,Medium,61,Unsafe,28.472326,77.508344
23-06-2025,Monday,20:38,Burglary,Poor,High,Medium,60,Moderate,28.459389,77.485516
01-08-2025,Friday,10:24,Robbery,Good,Medium,High,46,Moderate,28.455305,77.496903
09-02-2026,Monday,03:14,Assault,Poor,High,Low,78,Unsafe,28.479284,77.486896
05-01-2026,Monday,22:08,Robbery,Poor,Medium,High,64,Unsafe,28.470232,77.506515
04-12-2025,Thursday,07:09,Other,Poor,Low,Medium,56,Moderate,28.468213,77.501949
28-10-2025,Tuesday,02:50,Assault,Good,Low,High,69,Unsafe,28.472748,77.509769
07-01-2026,Wednesday,20:33,Assault,Moderate,Low,Medium,74,Unsafe,28.45833,77.494803
10-09-2025,Wednesday,18:20,Other,Moderate,Low,Low,55,Moderate,28.474011,77.497781
19-11-2025,Wednesday,03:57,Other,Poor,Medium,Medium,58,Moderate,28.458696,77.503738
27-01-2026,Tuesday,07:27,Other,Poor,High,Medium,42,Moderate,28.463058,77.51139
22-05-2025,Thursday,11:24,Harassment,Good,Low,Medium,50,Moderate,28.476427,77.500983
12-07-2025,Saturday,08:59,Other,Good,Medium,Low,41,Moderate,28.463811,77.497507
14-04-2025,Monday,19:53,Theft,Good,High,High,33,Moderate,28.471059,77.498565
27-04-2025,Sunday,16:33,Robbery,Good,Low,Medium,58,Moderate,28.460655,77.49231
17-06-2025,Tuesday,14:06,Theft,Good,Low,High,42,Moderate,28.477001,77.506389
21-09-2025,Sunday,09:51,Burglary,Good,Low,High,52,Moderate,28.477687,77.485574
19-08-2025,Tuesday,00:28,Assault,Good,Low,Medium,73,Unsafe,28.468475,77.509501
